Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.56,0.19,4.72,,2,107,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,1.05,0.24,4.67,29.19,2,108,21,CNN 16k,IID,CIFAR-10,1.8,0.3134,0.0855,2.9798,2.85,0.1229,0.0407,3.537
Client 1,2,2.63,0.13,6.68,,2,109,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,2.12,0.13,5.57,31.8,2,110,20,CNN 16k,IID,CIFAR-10,1.84,0.3362,0.1092,2.9166,2.69,0.151,0.0701,3.5336
