Client ID,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1.35,0.32,0.0,5.45,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1.37,0.25,0.0,5.41,74.85,2,104,21,CNN 64k,non-IID,CIFAR10,1.52,0.4348,0.115,1.8904,3.8,0.1215,0.0372,3.0362
