Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.19,0.37,25.37,,2,132,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,25.55,0.15,24.43,,2,132,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,25.5,0.14,23.5,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,26.32,0.22,24.07,84.95,1,100,21,CNN 16k,non-IID,CIFAR-10,1.12,0.5972,0.3221,1.4148,3.29,0.2933,0.2107,2.7159
